Month,Events,,,,,,,,,
1928-02,1,,,,,,,,,
1928-03,2,,,,,,,,,
1928-04,2,,,,,,,,,
1928-05,3,,,,,,,,,
1928-06,2,,,,,,,,,
1928-07,3,,,,,,,,,
1928-08,1,,,,,,,,,
1928-09,4,,,,,,,,,
1928-10,3,,,,,,,,,
1928-11,4,,,,,,,,,
1928-12,7,,,,,,,,,
1929-01,5,,,,,,,,,
1929-03,2,,,,,,,,,
1929-04,1,,,,,,,,,
1929-05,2,,,,,,,,,
1929-06,6,,,,,,,,,
1929-08,4,,,,,,,,,
1929-09,6,,,,,,,,,
1929-10,3,,,,,,,,,
1929-11,4,,,,,,,,,
1929-12,4,,,,,,,,,
1930-01,5,,,,,,,,,
1930-02,2,,,,,,,,,
1930-04,1,,,,,,,,,
1930-05,1,,,,,,,,,
1930-06,1,,,,,,,,,
1930-07,2,,,,,,,,,
1930-08,1,,,,,,,,,
1930-09,2,,,,,,,,,
1930-10,6,,,,,,,,,
1930-11,2,,,,,,,,,
1930-12,1,,,,,,,,,
1931-01,2,,,,,,,,,
1931-02,3,,,,,,,,,
1931-03,2,,,,,,,,,
1931-04,1,,,,,,,,,
1931-05,3,,,,,,,,,
1931-06,3,,,,,,,,,
1931-07,4,,,,,,,,,
1931-08,1,,,,,,,,,
1931-09,2,,,,,,,,,
1931-10,2,,,,,,,,,
1931-11,5,,,,,,,,,
1931-12,4,,,,,,,,,
1932-01,2,,,,,,,,,
1932-02,4,,,,,,,,,
1932-03,5,,,,,,,,,
1932-04,1,,,,,,,,,
1932-05,2,,,,,,,,,
1932-07,1,,,,,,,,,
1932-08,2,,,,,,,,,
1932-09,3,,,,,,,,,
1932-10,3,,,,,,,,,
1932-11,2,,,,,,,,,
1932-12,3,,,,,,,,,
1933-01,5,,,,,,,,,
1933-03,3,,,,,,,,,
1933-04,4,,,,,,,,,
1933-05,1,,,,,,,,,
1933-06,1,,,,,,,,,
1933-08,1,,,,,,,,,
1933-09,1,,,,,,,,,
1933-10,2,,,,,,,,,
1933-11,5,,,,,,,,,
1933-12,3,,,,,,,,,
1934-01,2,,,,,,,,,
1934-02,2,,,,,,,,,
1934-03,3,,,,,,,,,
1934-04,1,,,,,,,,,
1934-05,2,,,,,,,,,
1934-06,4,,,,,,,,,
1934-07,2,,,,,,,,,
1934-08,3,,,,,,,,,
1934-10,2,,,,,,,,,
1934-11,4,,,,,,,,,
1934-12,5,,,,,,,,,
1935-01,2,,,,,,,,,
1935-03,3,,,,,,,,,
1935-04,2,,,,,,,,,
1935-05,7,,,,,,,,,
1935-06,1,,,,,,,,,
1935-07,3,,,,,,,,,
1935-08,4,,,,,,,,,
1935-09,1,,,,,,,,,
1935-10,5,,,,,,,,,
1935-11,4,,,,,,,,,
1935-12,4,,,,,,,,,
1936-01,4,,,,,,,,,
1936-02,1,,,,,,,,,
1936-03,2,,,,,,,,,
1936-04,7,,,,,,,,,
1936-05,1,,,,,,,,,
1936-06,3,,,,,,,,,
1936-07,1,,,,,,,,,
1936-08,6,,,,,,,,,
1936-09,3,,,,,,,,,
1936-10,2,,,,,,,,,
1936-11,4,,,,,,,,,
1936-12,9,,,,,,,,,
1937-01,2,,,,,,,,,
1937-02,2,,,,,,,,,
1937-03,4,,,,,,,,,
1937-05,2,,,,,,,,,
1937-07,2,,,,,,,,,
1937-08,6,,,,,,,,,
1937-10,3,,,,,,,,,
1937-11,3,,,,,,,,,
1937-12,3,,,,,,,,,
1938-01,4,,,,,,,,,
1938-02,5,,,,,,,,,
1938-03,4,,,,,,,,,
1938-04,1,,,,,,,,,
1938-05,7,,,,,,,,,
1938-06,2,,,,,,,,,
1938-07,6,,,,,,,,,
1938-08,8,,,,,,,,,
1938-10,4,,,,,,,,,
1938-11,7,,,,,,,,,
1938-12,3,,,,,,,,,
1939-01,5,,,,,,,,,
1939-02,1,,,,,,,,,
1939-03,4,,,,,,,,,
1939-04,1,,,,,,,,,
1939-05,3,,,,,,,,,
1939-06,1,,,,,,,,,
1939-07,1,,,,,,,,,
1939-08,5,,,,,,,,,
1939-09,1,,,,,,,,,
1939-11,1,,,,,,,,,
1939-12,3,,,,,,,,,
1940-01,1,,,,,,,,,
1940-03,1,,,,,,,,,
1940-04,1,,,,,,,,,
1940-06,3,,,,,,,,,
1940-07,1,,,,,,,,,
1940-08,4,,,,,,,,,
1940-10,2,,,,,,,,,
1940-11,4,,,,,,,,,
1940-12,1,,,,,,,,,
1941-01,4,,,,,,,,,
1941-02,2,,,,,,,,,
1941-03,2,,,,,,,,,
1941-06,3,,,,,,,,,
1941-08,3,,,,,,,,,
1941-09,2,,,,,,,,,
1941-10,4,,,,,,,,,
1941-12,1,,,,,,,,,
1942-01,5,,,,,,,,,
1942-02,4,,,,,,,,,
1942-03,3,,,,,,,,,
1942-04,1,,,,,,,,,
1942-05,2,,,,,,,,,
1942-07,3,,,,,,,,,
1942-08,5,,,,,,,,,
1942-09,1,,,,,,,,,
1942-10,6,,,,,,,,,
1942-12,2,,,,,,,,,
1943-01,5,,,,,,,,,
1943-02,3,,,,,,,,,
1943-03,3,,,,,,,,,
1943-04,1,,,,,,,,,
1943-06,5,,,,,,,,,
1943-07,3,,,,,,,,,
1943-08,5,,,,,,,,,
1943-09,3,,,,,,,,,
1943-10,4,,,,,,,,,
1943-11,4,,,,,,,,,
1943-12,3,,,,,,,,,
1944-01,1,,,,,,,,,
1944-02,3,,,,,,,,,
1944-03,1,,,,,,,,,
1944-04,4,,,,,,,,,
1944-05,2,,,,,,,,,
1944-06,6,,,,,,,,,
1944-07,3,,,,,,,,,
1944-08,6,,,,,,,,,
1944-09,5,,,,,,,,,
1944-10,6,,,,,,,,,
1944-11,7,,,,,,,,,
1944-12,3,,,,,,,,,
